position,sentence_id,word,sentence,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,age,frameRate,sex,expName,date,ID,
medial,32,cork,Say 'cork' again,2,21,149,31,space,0.785351037979,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,35,chat,The word is 'chat',2,22,150,34,space,0.969325065613,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,25,sort,Say 'sort' again,2,23,151,24,space,1.08386898041,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,57,sort,The word is 'sort',2,24,152,56,space,1.11979413033,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,29,talk,Say 'talk' again,2,25,153,28,space,0.88556599617,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,62,walk,The word is 'walk',2,26,154,61,space,1.05297708511,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,5,Jack,Say 'Jack' again,2,27,155,4,space,0.736132860184,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,63,pork,The word is 'pork',2,28,156,62,space,0.935091018677,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,43,kit,The word is 'kit',2,29,157,42,space,0.702665090561,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,23,muck,Say 'muck' again,2,30,158,22,space,0.867969036102,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,54,duck,The word is 'duck',2,31,159,53,space,0.836401939392,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,33,cat,The word is 'cat',2,32,160,32,space,0.819238901138,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,19,nut,Say 'nut' again,2,33,161,18,space,0.935558795929,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,46,mick,The word is 'mick',2,34,162,45,space,0.80240893364,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,2,fat,Say 'fat' again,2,35,163,1,space,0.920246124268,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,39,Mac,The word is 'Mac',2,36,164,38,space,0.785718917847,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,4,rat,Say 'rat' again,2,37,165,3,space,0.837004899979,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
final,58,short,The word is 'short',2,38,166,57,space,1.18533205986,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
medial,27,port,Say 'port' again,2,39,167,26,space,0.86795592308,25,60.0983225559,m,glottal_pilot,2018_Mar_12_1656,m03,
