speaker,index,word,position,proportion,maximum,minimum
m01,20,pork,medial,0.2404558703593778,0.24539745873417657,0.6839415598035762
m01,20,pork,medial,0.29891190199725853,0.23115359173643227,0.7327254933455748
m01,20,pork,medial,0.3569035561566165,0.23642281889918915,0.6892206140885229
m01,20,pork,medial,0.41631242231004134,0.22287169318822786,0.6846493952835142
m01,20,pork,medial,0.4743921706501696,0.22673727045961053,0.6946122819196627
m01,20,pork,medial,0.5331608628466357,0.23423679746171497,0.6769247355933495
m01,20,pork,medial,0.589600348406974,0.26387969140329653,0.6796975108548207
m01,20,pork,medial,0.6499237872085292,0.22714783866473254,0.6781541985942683
m01,20,pork,medial,0.7079473751561633,0.24618862002479502,0.6805347634040542
m01,20,pork,medial,0.7667420749301301,0.23126576872385676,0.6921001372019177
m01,20,pork,medial,0.8245184719152795,0.2433270384206307,0.7019045633707551
m01,20,pork,medial,0.8822894393722495,0.2684304497115533,0.6938858272707806
m01,21,shut,final,0.051003429157076584,0.2671904043280152,0.7308354950121871
m01,21,shut,final,0.11487647315214924,0.24103659259085175,0.7315023792198424
m01,21,shut,final,0.17528819512903765,0.24860506040469382,0.7157115570220992
m01,21,shut,final,0.24346415539263616,0.19766513415849915,0.6687598655626483
m01,21,shut,final,0.306889023692797,0.2210942165427797,0.6818635224716405
m01,21,shut,final,0.3718551495602534,0.2270561422650385,0.6797970056649905
m01,21,shut,final,0.4385678535845762,0.2252902435275482,0.6979019371955945
m01,21,shut,final,0.5054486488466354,0.23501762138776208,0.6946998799112858
m01,21,shut,final,0.5720660763079688,0.2701069412228589,0.7046475750183607
m01,21,shut,final,0.6383702422088707,0.323961757071034,0.7254161586967153
m01,22,walk,medial,0.07863765486080919,0.22434567596388813,0.6901114782515683
m01,22,walk,medial,0.13727499510014057,0.23753672450591815,0.6873479340231488
m01,22,walk,medial,0.19559328727063766,0.23724970181968677,0.6779615953888024
m01,22,walk,medial,0.2536082746807692,0.22099275344767572,0.6749285871512326
m01,22,walk,medial,0.3115213631503909,0.21526462780244554,0.6646193998867787
m01,22,walk,medial,0.3688528981699884,0.2112844668584433,0.702549403226391
m01,22,walk,medial,0.4259419317554818,0.21215513916625975,0.6756038483047844
m01,22,walk,medial,0.4828570257574302,0.2124135201276259,0.6805629299153719
m01,22,walk,medial,0.5397170285615359,0.21108364579942615,0.6846415152154428
m01,22,walk,medial,0.5965896744910041,0.21126880580273627,0.6683808320423302
m01,22,walk,medial,0.6533060411013291,0.21406189047284685,0.6916148585532608
m01,22,walk,medial,0.7097140264645592,0.22606649132209314,0.6875554997573629
m01,22,walk,medial,0.766266919218665,0.22596448637112773,0.6872053884565064
m01,22,walk,medial,0.8235123014393639,0.22881672697839991,0.7155752983934778
m01,22,walk,medial,0.8797596670282601,0.23829565204315442,0.693261695576876
m01,23,fat,medial,0.07389427657729314,0.32705058803550596,0.7449458592786399
